type,date,epop
< High school,"April, 2001",6.8
< High school,"March, 2001",6.8
< High school,"February, 2001",7.5
< High school,"January, 2001",6.7
< High school,"December, 2000",5.9
< High school,"November, 2000",6.5
< High school,"October, 2000",6.4
< High school,"September, 2000",6.2
< High school,"August, 2000",6.2
< High school,"July, 2000",6.4
< High school,"June, 2000",6.3
< High school,"May, 2000",6.9
< High school,"April, 2000",6.2
< High school,"March, 2000",6.6
< High school,"February, 2000",6.0
< High school,"January, 2000",6.4
High school graduate,"October, 2016",5.5
High school graduate,"September, 2016",5.2
High school graduate,"August, 2016",5.1
High school graduate,"July, 2016",5.0
High school graduate,"June, 2016",5.0
High school graduate,"May, 2016",5.1
High school graduate,"April, 2016",5.4
High school graduate,"March, 2016",5.4
High school graduate,"February, 2016",5.3
High school graduate,"January, 2016",5.3
High school graduate,"December, 2015",5.6
High school graduate,"November, 2015",5.4
High school graduate,"October, 2015",5.3
High school graduate,"September, 2015",5.3
High school graduate,"August, 2015",5.5
High school graduate,"July, 2015",5.5
High school graduate,"June, 2015",5.4
High school graduate,"May, 2015",5.7
High school graduate,"April, 2015",5.4
High school graduate,"March, 2015",5.3
High school graduate,"February, 2015",5.4
High school graduate,"January, 2015",5.4
High school graduate,"December, 2014",5.3
High school graduate,"November, 2014",5.7
High school graduate,"October, 2014",5.8
High school graduate,"September, 2014",5.4
High school graduate,"August, 2014",6.1
High school graduate,"July, 2014",6.0
High school graduate,"June, 2014",5.8
High school graduate,"May, 2014",6.4
High school graduate,"April, 2014",6.2
High school graduate,"March, 2014",6.3
High school graduate,"February, 2014",6.4
High school graduate,"January, 2014",6.5
High school graduate,"December, 2013",7.0
High school graduate,"November, 2013",7.2
High school graduate,"October, 2013",7.3
High school graduate,"September, 2013",7.6
High school graduate,"August, 2013",7.4
High school graduate,"July, 2013",7.5
High school graduate,"June, 2013",7.7
High school graduate,"May, 2013",7.3
High school graduate,"April, 2013",7.5
High school graduate,"March, 2013",7.7
High school graduate,"February, 2013",7.9
High school graduate,"January, 2013",8.1
High school graduate,"December, 2012",8.0
High school graduate,"November, 2012",8.0
High school graduate,"October, 2012",8.3
High school graduate,"September, 2012",8.5
High school graduate,"August, 2012",8.6
High school graduate,"July, 2012",8.5
High school graduate,"June, 2012",8.5
High school graduate,"May, 2012",8.2
High school graduate,"April, 2012",8.0
High school graduate,"March, 2012",8.1
High school graduate,"February, 2012",8.3
High school graduate,"January, 2012",8.5
High school graduate,"December, 2011",8.7
High school graduate,"November, 2011",8.8
High school graduate,"October, 2011",9.4
High school graduate,"September, 2011",9.4
High school graduate,"August, 2011",9.3
High school graduate,"July, 2011",9.1
High school graduate,"June, 2011",10.0
High school graduate,"May, 2011",9.6
High school graduate,"April, 2011",9.9
High school graduate,"March, 2011",9.7
High school graduate,"February, 2011",9.7
High school graduate,"January, 2011",9.5
High school graduate,"December, 2010",9.8
High school graduate,"November, 2010",10.0
High school graduate,"October, 2010",9.8
High school graduate,"September, 2010",9.7
High school graduate,"August, 2010",10.0
High school graduate,"July, 2010",10.0
High school graduate,"June, 2010",10.6
High school graduate,"May, 2010",10.9
High school graduate,"April, 2010",10.8
High school graduate,"March, 2010",11.0
High school graduate,"February, 2010",10.7
High school graduate,"January, 2010",10.2
High school graduate,"December, 2009",10.6
High school graduate,"November, 2009",10.3
High school graduate,"October, 2009",11.0
High school graduate,"September, 2009",10.6
High school graduate,"August, 2009",9.7
High school graduate,"July, 2009",9.5
High school graduate,"June, 2009",9.7
High school graduate,"May, 2009",10.0
High school graduate,"April, 2009",9.5
High school graduate,"March, 2009",9.2
High school graduate,"February, 2009",8.5
High school graduate,"January, 2009",8.2
High school graduate,"December, 2008",7.8
High school graduate,"November, 2008",7.0
High school graduate,"October, 2008",6.4
High school graduate,"September, 2008",6.2
High school graduate,"August, 2008",5.8
High school graduate,"July, 2008",5.4
High school graduate,"June, 2008",5.1
High school graduate,"May, 2008",5.0
High school graduate,"April, 2008",5.0
High school graduate,"March, 2008",5.1
High school graduate,"February, 2008",4.7
High school graduate,"January, 2008",4.7
High school graduate,"December, 2007",4.7
High school graduate,"November, 2007",4.5
High school graduate,"October, 2007",4.6
High school graduate,"September, 2007",4.5
High school graduate,"August, 2007",4.4
High school graduate,"July, 2007",4.6
High school graduate,"June, 2007",4.1
High school graduate,"May, 2007",4.4
High school graduate,"April, 2007",4.1
High school graduate,"March, 2007",4.0
High school graduate,"February, 2007",4.3
High school graduate,"January, 2007",4.3
High school graduate,"December, 2006",4.3
High school graduate,"November, 2006",4.3
High school graduate,"October, 2006",4.1
High school graduate,"September, 2006",4.1
High school graduate,"August, 2006",4.6
High school graduate,"July, 2006",4.5
High school graduate,"June, 2006",4.1
