date,u,uadd,type,type2
"Jul, 2011",9,9,U3,
"Aug, 2011",9,9,U3,
"Sep, 2011",9,9,U3,
"Oct, 2011",8.8,8.8,U3,
"Nov, 2011",8.6,8.6,U3,
"Dec, 2011",8.5,8.5,U3,
"Jan, 2012",8.3,8.3,U3,
"Feb, 2012",8.3,8.3,U3,
"Mar, 2012",8.2,8.2,U3,
"Apr, 2012",8.2,8.2,U3,
"May, 2012",8.2,8.2,U3,
"Jun, 2012",8.2,8.2,U3,
"Jul, 2012",8.2,8.2,U3,
"Aug, 2012",8.1,8.1,U3,
"Sep, 2012",7.8,7.8,U3,
"Oct, 2012",7.8,7.8,U3,
"Nov, 2012",7.7,7.7,U3,
"Dec, 2012",7.9,7.9,U3,
"Jan, 2013",8,8,U3,
"Feb, 2013",7.7,7.7,U3,
"Mar, 2013",7.5,7.5,U3,
"Apr, 2013",7.6,7.6,U3,
"May, 2013",7.5,7.5,U3,
"Jun, 2013",7.5,7.5,U3,
"Jul, 2013",7.3,7.3,U3,
"Aug, 2013",7.3,7.3,U3,
"Sep, 2013",7.3,7.3,U3,
"Oct, 2013",7.2,7.2,U3,
"Nov, 2013",6.9,6.9,U3,
"Dec, 2013",6.7,6.7,U3,
"Jan, 2014",6.6,6.6,U3,
"Feb, 2014",6.7,6.7,U3,
"Mar, 2014",6.7,6.7,U3,
"Apr, 2014",6.2,6.2,U3,
"May, 2014",6.2,6.2,U3,
"Jun, 2014",6.1,6.1,U3,
"Jul, 2014",6.2,6.2,U3,
"Aug, 2014",6.2,6.2,U3,
"Sep, 2014",6,6,U3,
"Oct, 2014",5.7,5.7,U3,
"Nov, 2014",5.8,5.8,U3,
"Dec, 2014",5.6,5.6,U3,
"Jan, 2015",5.7,5.7,U3,
"Feb, 2015",5.5,5.5,U3,
"Mar, 2015",5.5,5.5,U3,
"Apr, 2015",5.4,5.4,U3,
"May, 2015",5.5,5.5,U3,
"Jun, 2015",5.3,5.3,U3,
"Jul, 2015",5.3,5.3,U3,
"Aug, 2015",5.1,5.1,U3,
"Sep, 2015",5.1,5.1,U3,
"Oct, 2015",5,5,U3,
"Nov, 2015",5,5,U3,
"Dec, 2015",5,5,U3,
"Jan, 2016",4.9,4.9,U3,
"Feb, 2016",4.9,4.9,U3,
"Mar, 2016",5,5,U3,
"Apr, 2016",5,5,U3,
"Jan, 2000",7.1,3.1,U6,U6-U3
"Feb, 2000",7.2,3.1,U6,U6-U3
"Mar, 2000",7.1,3.1,U6,U6-U3
"Apr, 2000",6.9,3.1,U6,U6-U3
"May, 2000",7.1,3.1,U6,U6-U3
"Jun, 2000",7,3,U6,U6-U3
"Jul, 2000",7,3,U6,U6-U3
"Aug, 2000",7.1,3,U6,U6-U3
"Sep, 2000",7,3.1,U6,U6-U3
"Oct, 2000",6.8,2.9,U6,U6-U3
"Nov, 2000",7.1,3.2,U6,U6-U3
"Dec, 2000",6.9,3,U6,U6-U3
"Jan, 2001",7.3,3.1,U6,U6-U3
"Feb, 2001",7.4,3.2,U6,U6-U3
"Mar, 2001",7.3,3,U6,U6-U3
"Apr, 2001",7.4,3,U6,U6-U3
"May, 2001",7.5,3.2,U6,U6-U3
"Jun, 2001",7.9,3.4,U6,U6-U3
"Jul, 2001",7.8,3.2,U6,U6-U3
"Aug, 2001",8.1,3.2,U6,U6-U3
"Sep, 2001",8.7,3.7,U6,U6-U3
"Oct, 2001",9.3,4,U6,U6-U3
"Nov, 2001",9.4,3.9,U6,U6-U3
"Dec, 2001",9.6,3.9,U6,U6-U3
"Jan, 2002",9.5,3.8,U6,U6-U3
"Feb, 2002",9.5,3.8,U6,U6-U3
"Mar, 2002",9.4,3.7,U6,U6-U3
"Apr, 2002",9.7,3.8,U6,U6-U3
"May, 2002",9.5,3.7,U6,U6-U3
"Jun, 2002",9.5,3.7,U6,U6-U3
"Jul, 2002",9.6,3.8,U6,U6-U3
"Aug, 2002",9.6,3.9,U6,U6-U3
"Sep, 2002",9.6,3.9,U6,U6-U3
"Oct, 2002",9.6,3.9,U6,U6-U3
"Nov, 2002",9.7,3.8,U6,U6-U3
"Dec, 2002",9.8,3.8,U6,U6-U3
"Jan, 2003",10,4.2,U6,U6-U3
"Feb, 2003",10.2,4.3,U6,U6-U3
"Mar, 2003",10,4.1,U6,U6-U3
"Apr, 2003",10.2,4.2,U6,U6-U3
"May, 2003",10.1,4,U6,U6-U3
"Jun, 2003",10.3,4,U6,U6-U3
"Jul, 2003",10.3,4.1,U6,U6-U3
"Aug, 2003",10.1,4,U6,U6-U3
"Sep, 2003",10.4,4.3,U6,U6-U3
"Oct, 2003",10.2,4.2,U6,U6-U3
"Nov, 2003",10,4.2,U6,U6-U3
"Dec, 2003",9.8,4.1,U6,U6-U3
"Jan, 2004",9.9,4.2,U6,U6-U3
"Feb, 2004",9.7,4.1,U6,U6-U3
"Mar, 2004",10,4.2,U6,U6-U3
"Apr, 2004",9.6,4,U6,U6-U3
"May, 2004",9.6,4,U6,U6-U3
"Jun, 2004",9.5,3.9,U6,U6-U3
"Jul, 2004",9.5,4,U6,U6-U3
"Aug, 2004",9.4,4,U6,U6-U3
"Sep, 2004",9.4,4,U6,U6-U3
"Oct, 2004",9.7,4.2,U6,U6-U3
"Nov, 2004",9.4,4,U6,U6-U3
"Dec, 2004",9.2,3.8,U6,U6-U3
"Jan, 2005",9.3,4,U6,U6-U3
"Feb, 2005",9.3,3.9,U6,U6-U3
"Mar, 2005",9.1,3.9,U6,U6-U3
"Apr, 2005",8.9,3.7,U6,U6-U3
"May, 2005",8.9,3.8,U6,U6-U3
"Jun, 2005",9,4,U6,U6-U3
"Jul, 2005",8.8,3.8,U6,U6-U3
"Aug, 2005",8.9,4,U6,U6-U3
"Sep, 2005",9,4,U6,U6-U3
"Oct, 2005",8.7,3.7,U6,U6-U3
"Nov, 2005",8.7,3.7,U6,U6-U3
"Dec, 2005",8.6,3.7,U6,U6-U3
"Jan, 2006",8.4,3.7,U6,U6-U3
"Feb, 2006",8.4,3.6,U6,U6-U3
"Mar, 2006",8.2,3.5,U6,U6-U3
"Apr, 2006",8.1,3.4,U6,U6-U3
"May, 2006",8.2,3.6,U6,U6-U3
"Jun, 2006",8.4,3.8,U6,U6-U3
"Jul, 2006",8.5,3.8,U6,U6-U3
"Aug, 2006",8.4,3.7,U6,U6-U3
"Sep, 2006",8,3.5,U6,U6-U3
"Oct, 2006",8.2,3.8,U6,U6-U3
"Nov, 2006",8.1,3.6,U6,U6-U3
"Dec, 2006",7.9,3.5,U6,U6-U3
"Jan, 2007",8.4,3.8,U6,U6-U3
"Feb, 2007",8.2,3.7,U6,U6-U3
"Mar, 2007",8,3.6,U6,U6-U3
"Apr, 2007",8.2,3.7,U6,U6-U3
"May, 2007",8.2,3.8,U6,U6-U3
"Jun, 2007",8.3,3.7,U6,U6-U3
"Jul, 2007",8.4,3.7,U6,U6-U3
"Aug, 2007",8.4,3.8,U6,U6-U3
"Sep, 2007",8.4,3.7,U6,U6-U3
"Oct, 2007",8.4,3.7,U6,U6-U3
"Nov, 2007",8.4,3.7,U6,U6-U3
"Dec, 2007",8.8,3.8,U6,U6-U3
"Jan, 2008",9.2,4.2,U6,U6-U3
"Feb, 2008",9,4.1,U6,U6-U3
"Mar, 2008",9.1,4,U6,U6-U3
"Apr, 2008",9.2,4.2,U6,U6-U3
"May, 2008",9.7,4.3,U6,U6-U3
"Jun, 2008",10.1,4.5,U6,U6-U3
"Jul, 2008",10.5,4.7,U6,U6-U3
"Aug, 2008",10.8,4.7,U6,U6-U3
"Sep, 2008",11,4.9,U6,U6-U3
"Oct, 2008",11.8,5.3,U6,U6-U3
"Nov, 2008",12.6,5.8,U6,U6-U3
"Dec, 2008",13.6,6.3,U6,U6-U3
"Jan, 2009",14.2,6.4,U6,U6-U3
"Feb, 2009",15.2,6.9,U6,U6-U3
"Mar, 2009",15.8,7.1,U6,U6-U3
"Apr, 2009",15.9,6.9,U6,U6-U3
"May, 2009",16.5,7.1,U6,U6-U3
"Jun, 2009",16.5,7,U6,U6-U3
"Jul, 2009",16.4,6.9,U6,U6-U3
"Aug, 2009",16.7,7.1,U6,U6-U3
"Sep, 2009",16.7,6.9,U6,U6-U3
"Oct, 2009",17.1,7.1,U6,U6-U3
"Nov, 2009",17.1,7.2,U6,U6-U3
"Dec, 2009",17.1,7.2,U6,U6-U3
"Jan, 2010",16.7,6.9,U6,U6-U3
"Feb, 2010",17,7.2,U6,U6-U3
"Mar, 2010",17.1,7.2,U6,U6-U3
"Apr, 2010",17.1,7.2,U6,U6-U3
"May, 2010",16.6,7,U6,U6-U3
"Jun, 2010",16.4,7,U6,U6-U3
"Jul, 2010",16.4,7,U6,U6-U3
"Aug, 2010",16.5,7,U6,U6-U3
"Sep, 2010",16.8,7.3,U6,U6-U3
"Oct, 2010",16.6,7.2,U6,U6-U3
"Nov, 2010",16.9,7.1,U6,U6-U3
"Dec, 2010",16.6,7.3,U6,U6-U3
"Jan, 2011",16.2,7.1,U6,U6-U3
"Feb, 2011",16,7,U6,U6-U3
"Mar, 2011",15.9,6.9,U6,U6-U3
"Apr, 2011",16.1,7,U6,U6-U3
"May, 2011",15.8,6.8,U6,U6-U3
"Jun, 2011",16.1,7,U6,U6-U3
"Jul, 2011",15.9,6.9,U6,U6-U3
"Aug, 2011",16.1,7.1,U6,U6-U3
"Sep, 2011",16.4,7.4,U6,U6-U3
